SEQ

00:00:00.002; 00:00:00.229; 00:00:00.013;
00:00:00.004; 00:00:00.458; 00:00:00.021;
00:00:00.006; 00:00:00.684; 00:00:00.032;
00:00:00.008; 00:00:00.920; 00:00:00.041;
00:00:00.011; 00:00:01.132; 00:00:00.055;
00:00:00.013; 00:00:01.367; 00:00:00.064;
00:00:00.015; 00:00:01.602; 00:00:00.072;
00:00:00.017; 00:00:01.900; 00:00:00.084;
00:00:00.026; 00:00:02.764; 00:00:00.125;
00:00:00.034; 00:00:03.705; 00:00:00.182;
00:00:00.045; 00:00:04.725; 00:00:00.214;
00:00:00.050; 00:00:05.710; 00:00:00.265;
00:00:00.061; 00:00:06.697; 00:00:00.293;
00:00:00.068; 00:00:07.660; 00:00:00.349;
00:00:00.074; 00:00:08.659; 00:00:00.374;
00:00:00.086; 00:00:09.595; 00:00:00.415;

OMP

00:00:00.003; 00:00:00.059; 00:00:00.013
00:00:00.007; 00:00:00.116; 00:00:00.025
00:00:00.010; 00:00:00.168; 00:00:00.037
00:00:00.013; 00:00:00.223; 00:00:00.050
00:00:00.017; 00:00:00.277; 00:00:00.062
00:00:00.019; 00:00:00.332; 00:00:00.075
00:00:00.023; 00:00:00.387; 00:00:00.087
00:00:00.027; 00:00:00.442; 00:00:00.099
00:00:00.039; 00:00:00.685; 00:00:00.150
00:00:00.050; 00:00:00.951; 00:00:00.222
00:00:00.060; 00:00:01.222; 00:00:00.235
00:00:00.073; 00:00:01.485; 00:00:00.286
00:00:00.084; 00:00:01.745; 00:00:00.323
00:00:00.096; 00:00:02.007; 00:00:00.376
00:00:00.110; 00:00:02.271; 00:00:00.419
00:00:00.119; 00:00:02.531; 00:00:00.462

OCL CPU

00:00:00.507; 00:00:00.300; 00:00:00.012
00:00:00.159; 00:00:00.574; 00:00:00.024
00:00:00.159; 00:00:00.847; 00:00:00.036
00:00:00.170; 00:00:01.122; 00:00:00.048
00:00:00.165; 00:00:01.407; 00:00:00.058
00:00:00.166; 00:00:02.118; 00:00:00.073
00:00:00.179; 00:00:02.542; 00:00:00.086
00:00:00.178; 00:00:02.922; 00:00:00.099
00:00:00.193; 00:00:03.764; 00:00:00.143
00:00:00.197; 00:00:04.536; 00:00:00.189
00:00:00.208; 00:00:05.696; 00:00:00.234
00:00:00.222; 00:00:06.841; 00:00:00.277
00:00:00.230; 00:00:07.993; 00:00:00.324
00:00:00.242; 00:00:09.142; 00:00:00.369
00:00:00.257; 00:00:10.332; 00:00:00.441
00:00:00.280; 00:00:13.447; 00:00:00.456

OCL GPU

00:00:00.137; 00:00:00.098; 00:00:00.012
00:00:00.139; 00:00:00.134; 00:00:00.024
00:00:00.140; 00:00:00.182; 00:00:00.035
00:00:00.142; 00:00:00.232; 00:00:00.047
00:00:00.146; 00:00:00.282; 00:00:00.058
00:00:00.149; 00:00:00.321; 00:00:00.072
00:00:00.153; 00:00:00.362; 00:00:00.081
00:00:00.152; 00:00:00.403; 00:00:00.092
00:00:00.162; 00:00:00.593; 00:00:00.139
00:00:00.177; 00:00:00.772; 00:00:00.182
00:00:00.193; 00:00:00.947; 00:00:00.226
00:00:00.199; 00:00:01.130; 00:00:00.271
00:00:00.211; 00:00:01.322; 00:00:00.320
00:00:00.227; 00:00:01.489; 00:00:00.362
00:00:00.236; 00:00:01.679; 00:00:00.406
00:00:00.243; 00:00:01.862; 00:00:00.449
